code,common_name
ABTO,Abert's Towhee
ACFL,Acadian Flycatcher
ACWO,Acorn Woodpecker
ADWA,Adelaide's Warbler
AFCD,African Collared-Dove
AFSI,African Silverbill
AGHE,Agami Heron
AISP,Ainley's Storm-Petrel
AKEK,Akekee
AKIA,Akiapolaau
AKIK,Akikiki
AKOH,Akohekohe
AMMU,Alaska Marbled Murrelet
ALFL,Alder Flycatcher
ACGO,Aleutian Cackling Goose
ALTE,Aleutian Tern
ALHU,Allen's Hummingbird
ALSW,Alpine Swift
ALOR,Altamira Oriole
ALYE,Altamira Yellowthroat
AMAU,Amaui
AMHU,Amazilia Hummingbird
AMKI,Amazon Kingfisher
AMAV,American Avocet
ABOW,American Barn Owl
AMBI,American Bittern
ABDU,American Black Duck
AMCO,American Coot
AMCR,American Crow
AMDI,American Dipper
AMFL,American Flamingo
AMGP,American Golden-Plover
AGOL,American Goldfinch
AGOS,American Goshawk
AGWT,American Green-winged Teal
AHGU,American Herring Gull
AMKE,American Kestrel
AMOY,American Oystercatcher
AMPI,American Pipit
APKI,American Pygmy Kingfisher
AMRE,American Redstart
AMRO,American Robin
ATTW,American Three-toed Woodpecker
ATSP,American Tree Sparrow
AWPE,American White Pelican
AMWI,American Wigeon
AMWO,American Woodcock
ATMG,Amethyst-throated Mountain-gem
ANMU,Ancient Murrelet
ANHI,Anhinga
ANIA,Anianiau
ANHU,Anna's Hummingbird
ACHH,Anna's x Costa's Hummingbird Hybrid
ANCH,Antillean Crested Hummingbird
ANNI,Antillean Nighthawk
ANPS,Antillean Palm-Swift
ANPI,Antillean Piculet
ANSI,Antillean Siskin
APAP,Apapane
APFA,Aplomado Falcon
ARLO,Arctic Loon
ARTE,Arctic Tern
ARWA,Arctic Warbler
AKLW,Arctic/Kamchatka Leaf Warbler
ARWO,Arizona Woodpecker
ARRW,Arrowhead Warbler
ATFL,Ash-throated Flycatcher
ASSP,Ashy Storm-Petrel
AFOW,Ashy-faced Owl
ATCH,Ashy-throated Chlorospingus
ABFL,Asian Brown Flycatcher
ASRF,Asian Rosy-Finch
ASST,Asian Stonechat
ATGR,Atitlan Grebe
ATBR,Atlantic Brant
ATPU,Atlantic Puffin
ACCA,Audubon's Crested Caracara
AUOR,Audubon's Oriole
AUWA,Audubon's Warbler
AZRA,Aztec Rail
AZTH,Aztec Thrush
AZGA,Azure Gallinule
AZCH,Azure-crowned Hummingbird
AHJA,Azure-hooded Jay
ARTA,Azure-rumped Tanager
BACS,Bachman's Sparrow
BAWA,Bachman's Warbler
BAMO,Bahama Mockingbird
BANU,Bahama Nuthatch
BAHO,Bahama Oriole
BAHS,Bahama Swallow
BAHW,Bahama Warbler
BAWO,Bahama Woodstar
BAYE,Bahama Yellowthroat
BATE,Baikal Teal
BAJU,Baird's Junco
BASA,Baird's Sandpiper
BAIS,Baird's Sparrow
BATR,Baird's Trogon
BAEA,Bald Eagle
BASO,Balsas Screech-Owl
BAOR,Baltimore Oriole
BANA,Bananaquit
BABW,Band-backed Wren
BAQU,Banded Quail
BANW,Banded Wren
BSTP,Band-rumped Storm-Petrel
BRSW,Band-rumped Swift
BTBA,Band-tailed Barbthroat
BTPI,Band-tailed Pigeon
BANS,Bank Swallow
BABU,Barbados Bullfinch
BARW,Barbuda Warbler
BACA,Bare-crowned Antbird
BLOW,Bare-legged Owl
BNUM,Bare-necked Umbrellabird
BSSO,Bare-shanked Screech-Owl
BTTH,Bare-throated Tiger-Heron
BARS,Barn Swallow
BARG,Barnacle Goose
BASH,Barolo Shearwater
BAAN,Barred Antshrike
BABE,Barred Becard
BAFF,Barred Forest-Falcon
BAHA,Barred Hawk
BAOW,Barred Owl
BAPA,Barred Parakeet
BAPU,Barred Puffbird
BAGO,Barrow's Goldeneye
BTGO,Bar-tailed Godwit
BWOR,Bar-winged Oriole
BAFA,Bat Falcon
BAYW,Bay Wren
BBRC,Bay-breasted Cuckoo
BBWA,Bay-breasted Warbler
BHTA,Bay-headed Tanager
BESO,Bearded Screech-Owl
BEWP,Bearded Wood-Partridge
BEAH,Beautiful Hummingbird
BETR,Beautiful Treerunner
BEEH,Bee Hummingbird
BEGU,Belcher's Gull
BSSP,Belding's Savannah Sparrow
BEYE,Belding's Yellowthroat
BESP,Bell's Sparrow
BEVI,Bell's Vireo
BEFL,Belted Flycatcher
BEKI,Belted Kingfisher
BETH,Bendire's Thrasher
BEPE,Bermuda Petrel
BEHU,Berylline Hummingbird
BESW,Bewick's Swan
BEWR,Bewick's Wren
BITH,Bicknell's Thrush
BIAN,Bicolored Antbird
BIHA,Bicolored Hawk
BIWR,Bicolored Wren
BIOO,Bishop's Oo
BLAN,Black Antshrike
BLBR,Black Brant
BLCA,Black Catbird
BLFR,Black Francolin
BLAG,Black Guan
BLGU,Black Guillemot
BLHE,Black Hawk-Eagle
BLAK,Black Kite
BLMA,Black Mamo
BLNO,Black Noddy
BLOR,Black Oropendola
BLOY,Black Oystercatcher
BLPH,Black Phoebe
BLRA,Black Rail
BLRF,Black Rosy-Finch
BLSC,Black Scoter
